Event_No,Datetime,X Frequency_observed,X Frequency_trend,X Frequency_seasonal,X Frequency_resid
689,2021-09-30 11:08:00,0.188,0.19155041845255355,-0.003523774734783064,-2.6643717770474806e-05
690,2021-09-30 11:38:00,0.188,0.19178648058388392,-0.008677094350518572,0.0048906137666346605
691,2021-09-30 12:08:00,0.188,0.19204700371775152,-0.0022315296284188793,-0.001815474089332636
692,2021-09-30 12:38:00,0.188,0.19233282186804354,-0.0033363059337723966,-0.000996515934271136
693,2021-09-30 13:08:00,0.188,0.19264378384013367,-0.00235987938255243,-0.002283904457581226
694,2021-09-30 13:38:00,0.188,0.19297844213194112,-0.0023626883585981047,-0.002615753773343027
695,2021-09-30 14:08:00,0.188,0.19333517297203245,-0.002377020486864288,-0.002958152485168175
696,2021-09-30 14:38:00,0.188,0.19371255647559396,-0.002398779606229631,-0.003313776869364321
697,2021-09-30 15:08:00,0.188,0.19410943535053185,-0.002424359492479936,-0.003685075858051917
698,2021-09-30 15:38:00,0.225,0.19452491134280733,-0.0008142760455076691,0.03128936470270033
699,2021-09-30 16:08:00,0.2,0.19495828781677393,0.00026011566871735574,0.0047815965145087125
700,2021-09-30 16:38:00,0.225,0.19540896049226242,-0.0002895464898643177,0.029880585997601905
701,2021-09-30 17:08:00,0.188,0.19587632070607527,-0.0024952330089158888,-0.005381087697159392
702,2021-09-30 17:38:00,0.188,0.19635970573505548,-0.0038912123729386346,-0.004468493362116854
703,2021-09-30 18:08:00,0.225,0.19685828448187792,-0.0011036318766622555,0.02924534739478435
704,2021-09-30 18:38:00,0.225,0.1973709994823069,-0.0010924559281702815,0.02872145644586338
705,2021-09-30 19:08:00,0.225,0.19789652152394788,-0.0010790765402080428,0.028182555016260158
706,2021-09-30 19:38:00,0.225,0.19843316390517418,-0.0010638208348385417,0.027630656929664377
707,2021-09-30 20:08:00,0.225,0.19897932583945968,-0.00104679336054786,0.027067467521088184
708,2021-09-30 20:38:00,0.225,0.1995334785831038,-0.0010281400209885,0.026494661437884703
709,2021-09-30 21:08:00,0.225,0.20009409552201887,-0.0010068219298420172,0.02591272640782316
710,2021-09-30 21:38:00,0.225,0.2006596467928044,-0.0009839665081168235,0.025324319715312432
711,2021-09-30 22:08:00,0.225,0.2012285752400804,-0.0009399570206648227,0.024711381780584435
712,2021-09-30 22:38:00,0.225,0.2017990992433272,0.002041191947365454,0.021159708809307343
