Event_No,Datetime,X Acc Filtered_Mean_observed,X Acc Filtered_Mean_trend,X Acc Filtered_Mean_seasonal,X Acc Filtered_Mean_resid
595,2021-09-28 12:08:00,-0.020328214,0.0038192314164681974,-0.00711356801758507,-0.017033877398883127
596,2021-09-28 12:38:00,0.046236625,0.003776692235219024,0.027034965388197253,0.015424967376583727
597,2021-09-28 13:08:00,0.039318488,0.003734602223362206,0.03014664863491182,0.005437237141725974
598,2021-09-28 13:38:00,-0.009278504,0.003693017112254352,-0.007548253622880555,-0.005423267489373797
599,2021-09-28 14:08:00,-0.004706987,0.0036519879915917902,0.0026342229184620988,-0.01099319791005389
600,2021-09-28 14:38:00,0.003461809,0.0036115847912888146,-0.009678362879891772,0.009528587088602956
601,2021-09-28 15:08:00,0.046996578,0.0035719048744472406,0.043307751578877354,0.0001169215466754023
602,2021-09-28 15:38:00,-0.020444303,0.0035330476849217422,-0.015217191970192397,-0.008760158714729346
603,2021-09-28 16:08:00,0.012064739,0.003495126254839638,0.018201753532381227,-0.009632140787220866
604,2021-09-28 16:38:00,0.040105073,0.003458292156374496,0.02393904192210725,0.012707738921518252
605,2021-09-28 17:08:00,0.009787082,0.003422739784456861,-0.005709268452495758,0.012073610668038897
606,2021-09-28 17:38:00,0.04162216,0.0033886699740913948,0.039303385753813466,-0.0010698957279048626
607,2021-09-28 18:08:00,-0.017646225,0.0033562874240674577,-0.02236071537880488,0.0013582029547374204
608,2021-09-28 18:38:00,-0.063269634,0.003325833565292303,-0.06560191319817532,-0.0009935543671169868
609,2021-09-28 19:08:00,-0.057224186,0.0032976054690738187,-0.03419837129344071,-0.026323420175633116
610,2021-09-28 19:38:00,-0.021520642,0.003272001457361489,-0.019634875366049003,-0.005157768091312485
611,2021-09-28 20:08:00,0.037070904,0.0032496216621093208,0.006863860273487787,0.026957422064402894
612,2021-09-28 20:38:00,0.0392023,0.0032312821667599815,-0.003491063155458586,0.039462080988698606
613,2021-09-28 21:08:00,-0.003693531,0.003217961298328017,-0.006093927529356695,-0.0008175647689713222
614,2021-09-28 21:38:00,0.007718537,0.0032107850572983304,-0.005768013694080727,0.010275765636782397
615,2021-09-28 22:08:00,-0.024101188,0.0032110447756336096,-0.010879079082656198,-0.01643315369297741
616,2021-09-28 22:38:00,0.039319979,0.0032199041044553844,0.01786254244984385,0.018237532445700765
617,2021-09-28 23:08:00,-0.04376479,0.0032376343213078654,-0.03922888311151521,-0.00777354120979265
618,2021-09-28 23:38:00,-0.016783692,0.003275064568294221,-0.017574183176424417,-0.0024845733918698034
619,2021-09-29 00:08:00,0.011593221,0.0033084837759112624,0.012252975781283097,-0.003968238557194358
620,2021-09-29 00:38:00,-0.016275088,0.003335653984117513,0.003949154200375631,-0.023559896184493143
621,2021-09-29 01:08:00,0.040669657,0.003355313406141664,0.03130537702667347,0.006008966567184863
622,2021-09-29 01:38:00,-0.042079242,0.0033669997005403964,0.018146419604296766,-0.06359266130483716
623,2021-09-29 02:08:00,-0.051548231,0.00337067748263546,0.01901481689114149,-0.07393372537377695
624,2021-09-29 02:38:00,0.010088531,0.003366851412080425,0.001100129782703262,0.005621549805216313
