Event_No,Source_File,Wave Raw_Min,Wave Raw_Max,Wave Raw_Mean,Wave Raw_Median,Wave Raw_Std_Dev,Wave Filtered_Min,Wave Filtered_Max,Wave Filtered_Mean,Wave Filtered_Median,Wave Filtered_Std_Dev,Wave Frequency_Min,Wave Frequency_Max,Wave Frequency_Mean,Wave Frequency_Median,Wave Frequency_Std_Dev,X Acc Raw_Min,X Acc Raw_Max,X Acc Raw_Mean,X Acc Raw_Median,X Acc Raw_Std_Dev,X Acc Filtered_Min,X Acc Filtered_Max,X Acc Filtered_Mean,X Acc Filtered_Median,X Acc Filtered_Std_Dev,Y Acc Raw_Min,Y Acc Raw_Max,Y Acc Raw_Mean,Y Acc Raw_Median,Y Acc Raw_Std_Dev,Y Acc Filtered_Min,Y Acc Filtered_Max,Y Acc Filtered_Mean,Y Acc Filtered_Median,Y Acc Filtered_Std_Dev,Z Acc Raw_Min,Z Acc Raw_Max,Z Acc Raw_Mean,Z Acc Raw_Median,Z Acc Raw_Std_Dev,X Displacement_Min,X Displacement_Max,X Displacement_Mean,X Displacement_Median,X Displacement_Std_Dev,Y Displacement_Min,Y Displacement_Max,Y Displacement_Mean,Y Displacement_Median,Y Displacement_Std_Dev,X Velocity_Min,X Velocity_Max,X Velocity_Mean,X Velocity_Median,X Velocity_Std_Dev,Y Velocity_Min,Y Velocity_Max,Y Velocity_Mean,Y Velocity_Median,Y Velocity_Std_Dev,X Frequency,Y Frequency
E585_processed,E585_processed,21.725559,22.367577,22.062532287388887,22.057682,0.08515227791921011,-0.3348035010471426,0.330332707690779,-2.5721298254242372e-05,0.0005396499157194453,0.08335091053255722,0.1171875,0.1171875,0.1171875,0.1171875,0.0,-78.534576,49.707397,-14.643265506687749,-14.541274999999999,17.331590047123914,-63.70073696876211,64.2968739083294,-0.05680233647804579,0.04835932704604451,17.386673848036075,-75.651016,38.672047,-20.58472857063469,-20.450632,15.33450390100034,-55.5002251684075,58.84058023494566,-0.01848576534264004,0.12861296323374605,15.329212493610145,3820.2566,3852.3972,3835.961411638889,3836.3269,4.134573504222985,-36.85412828140709,71.81847794691143,0.05045945734947353,-0.04951074989490373,10.045977200464565,-27.22088186752013,28.55496397816746,0.0073720752012859676,0.01775917157982354,8.027352548871031,-102.6921413465016,0.0,-64.56479319196552,-64.73461905774798,12.529895080819422,-53.72741926624338,18.59459650648635,-15.506633948369291,-15.4245974779197,10.667175964856312,0.203857421875,0.1806640625
E586_processed,E586_processed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.125786,47.339092,-13.033353470689606,-12.922427500000001,16.136841156821326,-59.01283132728807,59.68571571379204,-0.014161399763472336,0.06138381149804212,16.133108012202314,-69.604149,33.511658,-16.511323341951574,-16.629292,15.39961706962216,-55.11945134014276,51.76519252837777,-0.03993381706805785,0.010535567997985275,15.393688027364826,3827.3987,3861.325,3845.285612961111,3845.2546,4.184781492554835,-34.11454103162682,45.69184399167473,0.031246605410498396,-0.09532911616790407,9.058504596216457,-28.21201239468753,44.336964598029,0.03958071429418989,0.11715468262411649,8.117412194396092,-73.27824916361122,11.03261851716969,-30.998447727534327,-30.90147527215879,11.43929954916982,-71.00170963992299,19.68430427949793,-18.692067503261928,-18.606868084983834,10.756071962019591,0.235595703125,0.242919921875
E587_processed,E587_processed,0.0,22.185265,0.0012325147222222222,0.0,0.16535920212948957,-22.43441347060872,4.099589901708307,-0.015170932987099367,-9.661243548460649e-18,0.6268320190804046,0.0,0.0,0.0,0.0,0.0,-69.626068,56.062546,-11.719162991026517,-11.561271,16.45439556625176,-57.8470310897761,67.81644610777617,0.029816616749834712,0.1905061420329946,16.476546434309324,-75.998711,51.328693,-12.92032167135712,-13.0073205,14.635261331571218,-63.20919612416409,64.0192177521449,-0.016003046066472022,-0.06632869798607866,14.579413892668843,3832.7556,3872.0386,3852.8209856166663,3852.3972,4.3771093340617435,-33.64632876156945,33.206264837394,-0.022023675458845364,-0.0582336139953602,9.242513308878571,-33.52147739466017,42.10261161581107,0.03359946694072442,-0.038922912109353724,7.887435933850605,-19.84353902725469,60.33170456091376,21.416469540676992,21.255648096770507,11.761387252047621,-58.22705952980585,26.21567767169223,-16.323869275770708,-16.283894023918496,10.226667292893184,0.238037109375,0.2020263671875
E588_processed,E588_processed,21.852913,22.470325,22.18244631211111,22.183178,0.07945081547635835,-0.3048811548292915,0.2833007265997709,-0.00020370866941099127,0.000133712027543963,0.07819147116081482,0.1171875,0.1171875,0.1171875,0.1171875,0.0,-76.196289,50.744022,-10.5013310179507,-10.579964,15.782686891336006,-64.63001617926318,61.79543159276341,0.018283913642913974,-0.12059703579941844,15.795041474126393,-64.631798,47.244362,-7.58092213499451,-7.45148945,14.320843193028443,-54.04436894455338,57.96188117906577,-0.03521605019517904,-0.17273031570735742,14.184433447878856,3843.469,3883.6448,3864.899826716666,3864.896,5.799986131974941,-50.40953674614528,38.50065701395768,-0.038341687997869,0.031232590465401947,9.295879028756504,-29.19153640194087,34.39589643785153,0.02798557366817607,-0.016694445076291697,7.645883323563652,0.0,96.05095405471917,54.60897784956115,54.63565697180405,11.446459607708523,-71.28900471987343,1.41707141229801,-35.82028975962322,-35.7957730001192,9.975717945218056,0.23681640625,0.2484130859375
E589_processed,E589_processed,-16.227907,71.256996,1.9074970911004885,0.0,7.224913860757449,-34.98028690128571,35.5012430173695,0.00011039593290352062,2.0104875618014052e-14,1.9361239469682772,0.0634765625,0.0634765625,0.0634765625,0.0634765625,0.0,-69.787643,55.638058,-7.998976500611765,-7.87604045,15.829895423853369,-60.95635557376864,63.73632677982761,0.011224202054212241,0.26431169302540214,15.822291229614628,-60.548546,50.36306,-0.6374097970803272,-0.67089352,14.513668832870723,-59.91755543748481,50.91474416895143,-0.0010700430945751668,-0.041268588201064466,14.450058256806825,3861.325,3895.2512,3878.371995144444,3878.2881,3.9145276388548442,-32.6515723846367,30.48594538599953,0.00015601354806018836,-0.005686490467648242,8.824389203666541,-26.66576460031013,28.52769328041466,0.018961929552170284,0.0578622991545541,7.4153495906208935,-5.335101832194102,72.02546944272274,32.78157204859471,32.62625377363285,11.213221422249914,-49.35677209932655,24.03900058215523,-12.24591079395523,-12.23606616703875,9.944138516983854,0.19287109375,0.2532958984375
E590_processed,E590_processed,22.038197,22.657131,22.328690337166666,22.325607,0.08645883585574839,-0.3213299435914256,0.2899137472777071,-0.00010014684987520435,3.6678381337014974e-05,0.08142304927679131,0.1220703125,0.1220703125,0.1220703125,0.1220703125,0.0,-60.268108,43.246223,-7.469097777870173,-7.2704489,14.87029459651136,-53.00721441615518,50.33503730212564,0.024469136140367217,0.2275775812345546,14.889516495669975,-47.297852,53.694355,2.6132197914559194,2.6050062,13.900413670657048,-49.89612290162802,51.96076466811,-0.013269885545842257,-0.07593581319446785,13.827278465887124,3868.4673,3898.0134,3882.888228088889,3882.752,3.877758549864058,-31.88384427105396,30.01734037248427,0.0037290092365653386,-0.016014609729673834,8.460366357641965,-24.25377838332374,22.89125002829876,0.0071929425254667004,-0.03666251964700626,7.104202880844771,-38.83070723594518,43.82839598667056,-1.6970319355367995,-1.8915701417001234,10.702532807372133,-49.19739993641617,14.24401746295237,-15.802560200073867,-15.72852371196717,9.505924031742436,0.2362060546875,0.24658203125
E591_processed,E591_processed,-16.227905,71.86013,1.9200935611141112,0.0,7.259691906841411,-34.79357964206108,36.02716057272709,9.67321364833963e-05,3.88120334799445e-14,1.9338125281235363,0.0634765625,0.0634765625,0.0634765625,0.0634765625,0.0,-62.396313,45.828434,-6.337579794023816,-6.34361105,15.552864109253724,-55.7021028638649,52.48651632919905,-0.007841785416759705,-0.01042215376945688,15.547040582123472,-41.498848,64.264084,8.119356739878326,8.15251445,13.398858558367222,-51.66778034427385,54.22559285537315,-0.05353211725834458,-0.017204583100038473,13.372992540626077,3874.8223,3911.7544,3892.8335202777776,3892.7725,4.546800697592161,-27.9170668422441,31.42494290314711,-0.0014207173149363098,0.007966413935650785,8.907602105832892,-38.39092535912388,46.53810959538982,0.03984365757279399,0.010409381010117957,7.606082148375167,-56.89660846167071,14.23827347037444,-23.85133602803054,-23.771392199295725,11.16427423516257,-95.63517557718698,3.157813806730518,-43.332654417227786,-43.31303685850848,9.673992918915427,0.1904296875,0.1904296875
E592_processed,E592_processed,22.171143,22.811863,22.497658608555557,22.502552,0.08819657742617144,-0.3096824877762365,0.3288884405823269,0.00012344938374193613,0.0005876746738782837,0.08521204943370861,0.1171875,0.1171875,0.1171875,0.1171875,0.0,-60.359592,51.848454,-5.0182422616213005,-4.72092675,14.896097033646168,-55.4940537785069,56.63901697366819,0.007820735024873274,0.32829736888184036,14.895842628841205,-38.435726,56.1497,13.160012763508938,13.178354500000001,12.979227643044954,-49.67647969835036,43.74124746634976,-0.025881063306829988,-0.02289055731116435,12.947285505859886,3885.0786,3915.6843,3901.7437983722225,3901.2605,3.338439334645547,-27.54937624391758,30.63347693626388,-0.014082676227363868,-0.006637141644150191,8.768436968724385,-36.93217641317245,63.55593841711199,0.0466835099326646,-0.0010147037297326689,7.417605603683882,-23.16775282242828,46.59536480486532,13.73963979115107,13.51575237721828,10.778876249596816,-72.57784633250442,1.538584489811471,-37.431337242511844,-37.29185007640466,9.166425619270479,0.213623046875,0.242919921875
E593_processed,E593_processed,-16.227905,71.926407,1.9396792633268334,0.0,7.328109102775971,-34.58838050738094,35.87413477172549,0.0002321455444268365,4.812735082643563e-14,1.918049919057793,0.0634765625,0.0634765625,0.0634765625,0.0634765625,0.0,-60.79121,51.10696,-4.429292430447479,-4.3065672,15.958119035102921,-56.23647805444686,55.09959522012996,0.011853311875259702,0.12704189119188142,15.955578066358918,-37.23291,68.767006,16.874392555170612,16.948259,13.534386402358276,-52.63353226106778,52.51665504431789,0.009409544291685785,0.034776307337611945,13.531949886965442,3887.0339,3920.1643,3905.3788071722224,3905.0647,3.3656481735873505,-35.98777509186664,34.60256668509531,-0.008654851509245534,0.02582155828043997,10.093619610010654,-28.27205923349241,29.54530536874938,0.010808109695261605,-0.03687730307462059,7.893717810083979,-30.93961356420305,52.83814534991491,11.215324358921862,11.18992109582574,12.069155350409797,-58.33598488212048,16.81860532495864,-20.207085914681503,-20.087899629506182,9.908698339863495,0.181884765625,0.174560546875
E594_processed,E594_processed,22.369987,23.010708,22.660437272944442,22.657207,0.09415406681672459,-0.3482269002801749,0.3548724577471914,3.7248938731027325e-05,0.0006350558650779718,0.08963943580795537,0.166015625,0.166015625,0.166015625,0.166015625,0.0,-66.031929,54.830349,-3.6396673912992656,-3.4511812,17.339103937042047,-61.26046473115254,58.05968700149781,0.0027055205255315778,0.2747058083198204,17.321904394382624,-28.388144,68.281876,20.571538707866587,20.7263855,13.900520578036781,-51.39928004155809,44.58505745518179,0.00859650691488993,0.05699901143957131,13.823683190522756,3893.4211,3923.3252,3908.424260261111,3908.6494,3.871404179312898,-43.42112434021544,44.30706539740028,-0.017161625734452637,-0.13798860021925918,11.436131479818734,-51.78135240817283,30.65128393329371,-0.03387844027932615,0.011889787839360899,8.580073678929466,-36.06151530225064,57.94443767184348,7.82583018028323,7.950378232885437,13.42704639395699,0.0,68.28567144591754,36.04142913975018,36.06528588093231,10.387493196658943,0.179443359375,0.1800537109375
