Event_No,Datetime,Hs (m)_observed,Hs (m)_trend,Hs (m)_seasonal,Hs (m)_resid
738,2021-10-01 11:38:00,1.01631549,0.9480191026644426,0.018827681475338996,0.049468705860218454
739,2021-10-01 12:08:00,1.094002893,0.9546071019417575,0.04983855156702554,0.08955723949121719
740,2021-10-01 12:38:00,1.043132379,0.960465391256776,0.0047286846145968165,0.07793830312862715
741,2021-10-01 13:08:00,1.079326782,0.9655483281862209,0.034936020496133424,0.07884243331764562
742,2021-10-01 13:38:00,0.96541593,0.9698306127428016,0.011987508381491749,-0.01640219112429331
743,2021-10-01 14:08:00,1.046991001,0.9733124613378207,0.018352011551949585,0.05532652811022987
744,2021-10-01 14:38:00,0.960554816,0.9760237627442759,0.005012545858104425,-0.020481492602380302
745,2021-10-01 15:08:00,1.010550425,0.9780260269571626,0.037853528118559084,-0.0053291300757217774
746,2021-10-01 15:38:00,0.927653065,0.9794158869555151,-0.012406875125609918,-0.039355946829905175
747,2021-10-01 16:08:00,0.982614336,0.9803209743460306,0.016979249297941163,-0.014685887643971718
748,2021-10-01 16:38:00,0.913488767,0.9809013768002003,-0.04039707498524779,-0.027015534814952447
749,2021-10-01 17:08:00,0.962048992,0.9813446788855738,-0.002310003042316546,-0.01698568384325716
750,2021-10-01 17:38:00,0.884409655,0.981855975027249,-0.06322989927309093,-0.03421642075415798
751,2021-10-01 18:08:00,0.930304447,0.9826453715776451,-0.02612006722037623,-0.026220857357268867
752,2021-10-01 18:38:00,0.827860173,0.9839126730537114,-0.05355578235667555,-0.10249671769703583
753,2021-10-01 19:08:00,0.902793295,0.9858300981409175,-0.04021376886513981,-0.042823034275777605
754,2021-10-01 19:38:00,0.870417609,0.9885230357675415,-0.0415791054356514,-0.07652632133189019
755,2021-10-01 20:08:00,0.884765854,0.9920537141179538,-0.046192166243572,-0.06109569387438185
756,2021-10-01 20:38:00,0.89023482,0.9963945466533604,-0.02061268673855633,-0.08554703991480406
757,2021-10-01 21:08:00,0.877282205,1.0014420406382945,-0.04146631508971716,-0.08269352054857726
758,2021-10-01 21:38:00,0.950421632,1.0070219416639445,-0.06799961281938277,0.011399303155438245
759,2021-10-01 22:08:00,0.884668778,1.0129235927833178,-0.012577293706471999,-0.11567752107684581
760,2021-10-01 22:38:00,1.109314889,1.0189191931534574,-0.0016675677748866275,0.09206326362142914
