Overall_Rank,Feature,r_vs_X Frequency,R2_vs_X Frequency,r_vs_Y Frequency,R2_vs_Y Frequency,Avg_R2,Rank_vs_X Frequency,Rank_vs_Y Frequency
26,Y_Acc_Raw_Skew,0.2294,0.0526,0.2631,0.0692,0.0609,22,40
27,Y_Acc_Raw_PeakFreq3,0.2044,0.0418,0.2699,0.0728,0.0573,27,31
28,Y_Acc_Filtered_PeakFreq3,0.2044,0.0418,0.2699,0.0728,0.0573,27,31
29,Horizontal_Displacement_RMS,-0.0612,0.0037,-0.3127,0.0978,0.0508,57,19
30,Y_Velocity_Std,-0.0499,0.0025,-0.3091,0.0955,0.049,71,20
31,Z_Acc_Raw_PeakFreq1,0.213,0.0454,0.2214,0.049,0.0472,26,45
32,X_Acc_Raw_CrestFactor,0.1996,0.0399,0.2323,0.054,0.0469,29,43
33,Hydro_Interaction,-0.0135,0.0002,-0.3027,0.0916,0.0459,95,22
34,Z_Acc_Raw_Skew,0.1307,0.0171,0.2541,0.0645,0.0408,33,41
35,Z_Acc_Raw_CrestFactor,-0.0387,0.0015,-0.2829,0.0801,0.0408,76,27
36,Y_Acc_Filtered_PeakPower2,-0.0669,0.0045,-0.2762,0.0763,0.0404,52,29
37,Y_Acc_Raw_PeakPower2,-0.0669,0.0045,-0.2762,0.0763,0.0404,53,30
38,Y_Acc_Raw_RMS,-0.012,0.0001,-0.2767,0.0765,0.0383,96,28
39,Z_Acc_Raw_PeakPower2,-0.0527,0.0028,-0.2694,0.0726,0.0377,69,34
40,Y_Acc_Raw_CrestFactor,0.2287,0.0523,0.1393,0.0194,0.0359,23,69
41,X_Displacement_Std,-0.0349,0.0012,-0.2648,0.0701,0.0357,82,38
42,X_Displacement_RMS,-0.0349,0.0012,-0.2648,0.0701,0.0357,83,39
43,Y_Acc_Filtered_CrestFactor,0.1992,0.0397,0.1774,0.0315,0.0356,30,60
44,Y_Acc_Raw_Std,-0.0091,0.0001,-0.266,0.0708,0.0354,98,35
45,Y_Acc_Filtered_Std,-0.0089,0.0001,-0.2657,0.0706,0.0353,99,36
46,Y_Acc_Filtered_RMS,-0.0089,0.0001,-0.2657,0.0706,0.0353,100,37
47,Z_Acc_Raw_PeakPower3,-0.0604,0.0037,-0.2525,0.0638,0.0337,58,42
48,Z_Acc_Raw_Kurtosis,0.2503,0.0626,0.025,0.0006,0.0316,19,94
49,Y_Acc_Filtered_SpectralBandwidth,0.2415,0.0583,0.0692,0.0048,0.0315,20,85
50,X_Velocity_Std,0.0052,0.0,-0.2294,0.0526,0.0263,104,44
51,Y_Acc_Raw_SpectralBandwidth,0.2215,0.049,0.0523,0.0027,0.0259,25,87
52,X_Acc_Raw_PeakPower1,-0.027,0.0007,-0.2197,0.0483,0.0245,87,46
53,X_Acc_Filtered_PeakPower1,-0.027,0.0007,-0.2197,0.0483,0.0245,88,47
54,X_Displacement_Kurtosis,0.151,0.0228,0.1493,0.0223,0.0226,32,66
55,X_Displacement_CrestFactor,0.1588,0.0252,0.1344,0.018,0.0216,31,70
56,Y_Acc_Filtered_PeakPower3,-0.0337,0.0011,-0.2014,0.0406,0.0208,84,48
57,Y_Acc_Raw_PeakPower3,-0.0337,0.0011,-0.2014,0.0406,0.0208,85,49
58,Y_Velocity_RMS,-0.0469,0.0022,-0.1939,0.0376,0.0199,72,50
59,Hs (m),0.0955,0.0091,-0.1712,0.0293,0.0192,43,62
60,X_Acc_Raw_Std,0.055,0.003,-0.1872,0.0351,0.019,67,52
61,X_Acc_Filtered_Std,0.0552,0.003,-0.187,0.035,0.019,66,53
62,X_Acc_Filtered_RMS,0.0552,0.003,-0.187,0.035,0.019,65,54
63,X_Acc_Raw_RMS,0.0549,0.003,-0.1857,0.0345,0.0188,68,55
64,X_Acc_Filtered_PeakPower2,0.0666,0.0044,-0.1815,0.0329,0.0187,55,57
65,X_Acc_Raw_PeakPower2,0.0666,0.0044,-0.1815,0.0329,0.0187,54,58
66,X_Velocity_Kurtosis,0.0275,0.0008,0.1819,0.0331,0.0169,86,56
67,X_Acc_Filtered_Kurtosis,-0.0353,0.0012,0.1796,0.0323,0.0168,81,59
68,X_Acc_Raw_Kurtosis,-0.0401,0.0016,0.1773,0.0314,0.0165,74,61
69,Wave_Steepness,0.0575,0.0033,-0.1616,0.0261,0.0147,63,63
70,X_Acc_Filtered_PeakPower3,0.038,0.0014,-0.1589,0.0252,0.0133,77,64
71,X_Acc_Raw_PeakPower3,0.038,0.0014,-0.1589,0.0252,0.0133,78,65
72,Y_Velocity_CrestFactor,0.1057,0.0112,0.1134,0.0129,0.012,37,73
73,X_Acc_Filtered_SpectralEntropy,-0.0186,0.0003,-0.1469,0.0216,0.011,92,67
74,X_Acc_Raw_SpectralEntropy,-0.0184,0.0003,-0.1469,0.0216,0.011,93,68
75,Y_Acc_Raw_PeakFreq2,0.1005,0.0101,0.1074,0.0115,0.0108,40,74
76,Y_Acc_Filtered_PeakFreq2,0.1005,0.0101,0.1074,0.0115,0.0108,40,74
77,X_Acc_Filtered_CrestFactor,0.056,0.0031,0.1296,0.0168,0.01,64,71
78,X_Acc_Filtered_SpectralBandwidth,0.1042,0.0109,-0.0904,0.0082,0.0095,38,80
79,Y_Velocity_Kurtosis,0.0623,0.0039,0.1222,0.0149,0.0094,56,72
80,Z_Acc_Raw_PeakFreq3,0.0818,0.0067,0.1072,0.0115,0.0091,45,76
81,X_Acc_Raw_SpectralBandwidth,0.086,0.0074,-0.1012,0.0102,0.0088,44,79
82,X_Velocity_RMS,0.0732,0.0054,-0.1015,0.0103,0.0078,51,78
83,Y_Acc_Filtered_SpectralEntropy,0.0788,0.0062,-0.0888,0.0079,0.007,47,82
84,Y_Acc_Raw_SpectralEntropy,0.0791,0.0063,-0.0885,0.0078,0.007,46,83
85,Y_Displacement_Kurtosis,0.0505,0.0025,0.1059,0.0112,0.0069,70,77
86,Y_Displacement_Skew,0.1094,0.012,0.0256,0.0007,0.0063,36,93
87,Tz (s),0.0782,0.0061,-0.077,0.0059,0.006,50,84
88,Z_Acc_Raw_PeakFreq2,-0.0992,0.0098,0.0066,0.0,0.0049,42,103
89,Y_Displacement_CrestFactor,0.0361,0.0013,0.0892,0.008,0.0046,80,81
90,Z_Acc_Raw_RMS,-0.0229,0.0005,-0.0663,0.0044,0.0025,89,86
91,Wave_Filtered_Skew,-0.06,0.0036,-0.0244,0.0006,0.0021,60,95
92,Wave_Raw_CrestFactor,0.0599,0.0036,0.0229,0.0005,0.0021,61,96
93,Wave_Raw_Kurtosis,0.0604,0.0036,0.0185,0.0003,0.002,59,99
94,Wave_Raw_Skew,0.0579,0.0033,0.0206,0.0004,0.0019,62,97
95,X_Velocity_CrestFactor,-0.0403,0.0016,0.039,0.0015,0.0016,73,88
96,Wave_Filtered_Kurtosis,0.04,0.0016,0.0261,0.0007,0.0011,75,89
97,X_Displacement_Skew,0.0375,0.0014,-0.0098,0.0001,0.0008,79,102
98,X_Acc_Filtered_PeakFreq2,-0.0226,0.0005,0.0256,0.0007,0.0006,90,91
99,X_Acc_Raw_PeakFreq2,-0.0226,0.0005,0.0256,0.0007,0.0006,90,91
100,X_Velocity_Skew,-0.0102,0.0001,0.026,0.0007,0.0004,97,90
101,Wave_Raw_RMS,-0.0164,0.0003,-0.0198,0.0004,0.0003,94,98
102,Wave_Raw_Std,0.0018,0.0,0.016,0.0003,0.0001,105,100
103,Wave_Filtered_CrestFactor,0.0081,0.0001,0.013,0.0002,0.0001,103,101
104,Wave_Filtered_RMS,0.0085,0.0001,0.0021,0.0,0.0,101,104
105,Wave_Filtered_Std,0.0084,0.0001,0.0021,0.0,0.0,102,105
