TOB3,67953,CR1000,67953,CR1000.Std.32.05,CPU:1301269T.CR1,25943,9/27/2021 13:39
,,,,,,,
,,,,,,,
Scan Number,Date,Time,X_Accel,Y_Accel,Z_Accel,Wave_Radar,
,,,mm/s^2,mm/s^2,mm/s^2,Meters,
9806103,27/9/2021,1:38:50 PM,9.87E+00,2.38E+01,3.91E+03,0.00E+00,
9806104,27/9/2021,1:38:50 PM,9.85E+00,2.40E+01,3.92E+03,0.00E+00,
9806105,27/9/2021,1:38:50 PM,1.08E+01,2.31E+01,3.92E+03,0.00E+00,
9806106,27/9/2021,1:38:51 PM,1.11E+01,2.17E+01,3.92E+03,0.00E+00,
9806107,27/9/2021,1:38:51 PM,1.23E+01,1.96E+01,3.92E+03,0.00E+00,
9806108,27/9/2021,1:38:51 PM,1.18E+01,1.72E+01,3.91E+03,0.00E+00,
9806109,27/9/2021,1:38:51 PM,1.22E+01,1.62E+01,3.92E+03,0.00E+00,
9806110,27/9/2021,1:38:51 PM,1.01E+01,1.69E+01,3.91E+03,0.00E+00,
9806111,27/9/2021,1:38:51 PM,7.96E+00,1.72E+01,3.92E+03,0.00E+00,
9806112,27/9/2021,1:38:51 PM,6.00E+00,1.57E+01,3.92E+03,0.00E+00,
9806113,27/9/2021,1:38:51 PM,1.55E+00,1.41E+01,3.91E+03,0.00E+00,
9806114,27/9/2021,1:38:51 PM,-4.21E+00,1.45E+01,3.91E+03,0.00E+00,
9806115,27/9/2021,1:38:51 PM,-9.66E+00,1.49E+01,3.91E+03,0.00E+00,
9806116,27/9/2021,1:38:52 PM,-1.41E+01,1.60E+01,3.91E+03,0.00E+00,
9806117,27/9/2021,1:38:52 PM,-1.82E+01,1.72E+01,3.91E+03,0.00E+00,
9806118,27/9/2021,1:38:52 PM,-2.13E+01,1.67E+01,3.91E+03,0.00E+00,
9806119,27/9/2021,1:38:52 PM,-2.36E+01,1.55E+01,3.91E+03,0.00E+00,
9806120,27/9/2021,1:38:52 PM,-2.52E+01,1.42E+01,3.91E+03,0.00E+00,
9806121,27/9/2021,1:38:52 PM,-2.58E+01,1.37E+01,3.91E+03,0.00E+00,
9806122,27/9/2021,1:38:52 PM,-2.39E+01,1.24E+01,3.91E+03,0.00E+00,
9806123,27/9/2021,1:38:52 PM,-2.07E+01,9.82E+00,3.91E+03,0.00E+00,
9806124,27/9/2021,1:38:52 PM,-1.84E+01,8.77E+00,3.91E+03,0.00E+00,
