Event_No,Datetime,Y Frequency_observed,Y Frequency_trend,Y Frequency_seasonal,Y Frequency_resid
744,2021-10-01 14:38:00,0.225,0.21455091149886882,0.0040737910206257374,0.006375297480505443
745,2021-10-01 15:08:00,0.225,0.21487968222434517,0.005116544707916773,0.005003773067738054
746,2021-10-01 15:38:00,0.225,0.21520740988181591,-0.0007605470069827217,0.010553137125166812
747,2021-10-01 16:08:00,0.225,0.21553296817009956,0.00246005416410887,0.007006977665791558
748,2021-10-01 16:38:00,0.225,0.21585525002349876,0.012363005311313124,-0.003218255334811876
749,2021-10-01 17:08:00,0.225,0.21617290712518675,0.0032615650727387943,0.005565527802074477
750,2021-10-01 17:38:00,0.225,0.2164846149953834,0.01194565749010465,-0.0034302724854880506
751,2021-10-01 18:08:00,0.225,0.2167889959397846,0.012001930025389681,-0.0037909259651742744
752,2021-10-01 18:38:00,0.225,0.2170846412224418,0.0044545311873151906,0.003460827590242993
753,2021-10-01 19:08:00,0.225,0.21737010773806534,0.011662082955424013,-0.00403219069348934
754,2021-10-01 19:38:00,0.213,0.21764392579247752,-0.0009702440067328413,-0.0036736817857446757
755,2021-10-01 20:08:00,0.225,0.21790460291948824,0.011324388746516785,-0.004228991666005016
756,2021-10-01 20:38:00,0.213,0.2181508285920772,-0.0011799877421168376,-0.003970840849960383
757,2021-10-01 21:08:00,0.225,0.21838169748995187,0.003662195669390027,0.0029561068406581126
758,2021-10-01 21:38:00,0.225,0.21859696839588474,0.0006344305605954764,0.005768601043519783
759,2021-10-01 22:08:00,0.213,0.21879705165939528,-0.004193161623840503,-0.001603890035554778
760,2021-10-01 22:38:00,0.225,0.21898264697621345,0.0014262385117938176,0.004591114511992733
761,2021-10-01 23:08:00,0.213,0.21915457697868235,-0.002118294757147822,-0.004036282221534543
762,2021-10-01 23:38:00,0.225,0.21931369918231344,0.0011448040673574128,0.004541496750329138
763,2021-10-02 00:08:00,0.2,0.21946102876315976,-0.0034951415111809554,-0.015965887251978783
764,2021-10-02 00:38:00,0.213,0.21959755415525412,-0.006437453775747625,-0.0001601003795065059
765,2021-10-02 01:08:00,0.2,0.21972425839630805,-0.006628519247480436,-0.013095739148827612
766,2021-10-02 01:38:00,0.2,0.2198420999733305,-0.004074357571131175,-0.01576774240219933
767,2021-10-02 02:08:00,0.213,0.21995200286632713,-0.003101523248236575,-0.0038504796180905687
768,2021-10-02 02:38:00,0.225,0.22005521034190795,0.000170218969201201,0.004774570688890867
769,2021-10-02 03:08:00,0.213,0.22015326187052095,-0.002894065284451769,-0.004259196586069186
770,2021-10-02 03:38:00,0.213,0.2202475969408519,-0.0070649765435958755,-0.00018262039725602808
771,2021-10-02 04:08:00,0.213,0.22033956016419193,-0.004879542795637947,-0.002460017368553974
772,2021-10-02 04:38:00,0.213,0.2204305210690664,-0.0023913021398151127,-0.005039218929251299
773,2021-10-02 05:08:00,0.225,0.22052172570766232,-0.001112175300521751,0.0055904495928594256
774,2021-10-02 05:38:00,0.225,0.2206144543344951,0.003833193258953237,0.0005523524065516594
775,2021-10-02 06:08:00,0.225,0.22070976372949078,-0.001365173320250369,0.005655409590759608
776,2021-10-02 06:38:00,0.213,0.22080860534173558,-0.005213446302249633,-0.002595159039485956
777,2021-10-02 07:08:00,0.2,0.22091155809714763,-0.005831897355819577,-0.01507966074132805
778,2021-10-02 07:38:00,0.225,0.2210187602077347,-0.0026837716112777877,0.006665011403543086
779,2021-10-02 08:08:00,0.225,0.22113011556385626,0.0007649204564424278,0.003104963979701336
780,2021-10-02 08:38:00,0.225,0.22124540108845,0.0006504365090843393,0.0031041624024656655
781,2021-10-02 09:08:00,0.2,0.22136437413273463,0.0007983658700581429,-0.022162740002792752
